ID,Timestamp,Days,Hours,Minutes,RawData
C1,21001,0,5,50,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,21301,0,5,55,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,21601,0,6,0,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_-0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,21901,0,6,5,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,22201,0,6,10,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.00_A11#T3#S1_-0.01_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,22501,0,6,15,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,22801,0,6,20,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_-0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,23101,0,6,25,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,23401,0,6,30,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,23701,0,6,35,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,24001,0,6,40,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
